"행정구역별",2017,2018,2019,2020,2021
"행정구역별",신혼부부 수 (A),신혼부부 수 (A),신혼부부 수 (A),신혼부부 수 (A),신혼부부 수 (A)
"전국",1379766,1322406,1260117,1183750,1101455
"서울특별시",263148,246867,232454,219101,200477
"부산광역시",83545,77755,72403,67632,62431
"대구광역시",59102,56985,54078,49774,45094
"인천광역시",83619,80023,75794,69296,65347
"광주광역시",37534,35659,33878,31648,29596
"대전광역시",40061,37736,35066,32559,30342
"울산광역시",35376,32861,30431,27835,24721
"세종특별자치시",11031,12432,12966,12225,11475
"경기도",372622,366403,356169,341434,325067
"강원도",36456,35685,34928,33486,31767
"충청북도",41480,40021,38744,36691,34341
"충청남도",58589,56829,54280,50406,46373
"전라북도",40699,38328,36082,33503,31158
"전라남도",42584,40173,38275,35888,33351
"경상북도",65118,61237,57670,53145,48707
"경상남도",90261,85031,79222,72264,65409
"제주특별자치도",18546,18387,17682,16868,15803
